date,M032,M040,M142,M196,M419,M421,M422,M423,M428,M481,M666,M738,M420
08/02/1985,0.15498652,0.30520147,3.5863035,0.6461999,0.107404724,2.4209173,0.15498652,0.96544206,0.05376387,0.34205276,0.107404724,1.4042876,1.4672061
09/02/1985,0.02760308,0.051029943,0.16567495,0.059215106,0.011534858,0.109376594,0.02760308,0.06540639,0.001024853,0.25835234,0.011534858,0.25767276,0.09847558
10/02/1985,5.6131516,1.3141283,7.7736673,5.168418,8.780236,10.352683,5.6131516,9.987503,5.5461226,4.4782453,8.780236,5.373326,12.059494
11/02/1985,0.06368208,0.04884685,0.7807088,0.111800306,0.031430256,0.34908092,0.06368208,0.19696723,0.014855149,0.11378036,0.031430256,0.24194996,0.6885267
12/02/1985,2.4794743,1.3689564,5.7619014,3.1078048,1.8526411,5.4476585,2.4794743,5.2730875,1.9910299,3.302584,1.8526411,4.0400925,6.4027057
13/02/1985,0.06231893,0.21302333,0.5956893,0.13873085,0.027010484,0.27639237,0.06231893,0.14452499,0.036616787,0.09798716,0.027010484,0.4345247,0.12493609
14/02/1985,0.054997414,0.7444948,0.034903407,0.14911066,0.007883887,0.0339121,0.054997414,0.03513904,0.18467154,0.36559087,0.007883887,0.3475418,0.019041803
15/02/1985,0.043792173,0.6928354,0.13965394,0.07333286,0.083883576,0.006785925,0.043792173,0.049858443,0.005456586,0.23377033,0.083883576,0.3142095,0.055193476
16/02/1985,0.07174394,2.2859213,0.93001527,0.32762888,0.19064206,1.4139524,0.07174394,0.7825877,0.15104349,0.44883993,0.19064206,0.6050158,2.401413
17/02/1985,0.10275072,0.023061259,0.048348155,0.107490785,0.14907396,0.10400922,0.10275072,0.09277636,0.14023928,0.07426519,0.14907396,0.06678126,1.1935192
18/02/1985,0.20612843,0.6781855,4.271864,0.4694961,0.15472503,1.8476276,0.20612843,0.7306632,0.14009173,1.483262,0.15472503,1.1180736,0.5461915
19/02/1985,0.82385224,0.039879024,0.416751,0.557046,0.69126123,0.9333561,0.82385224,2.279446,0.37404475,0.19453941,0.69126123,0.45824316,2.5447328
20/02/1985,0.24688692,0.56894827,4.5801897,0.75576216,0.11840088,2.5370772,0.24688692,0.9802014,0.13948327,1.2823598,0.11840088,1.6986396,0.66752285
21/02/1985,0.24437265,0.49023047,0.34669945,0.5637079,0.13513117,0.3141216,0.24437265,0.23050858,0.29320264,0.6444882,0.13513117,0.8974798,0.18747897
22/02/1985,0.18279696,1.1022857,0.21348664,0.5543884,0.08195835,0.36656508,0.18279696,0.22295539,0.32476723,1.341551,0.08195835,2.0523121,0.2302848
23/02/1985,1.0739582,2.6008534,7.172072,1.9185158,0.75947464,4.462463,1.0739582,2.0341868,1.8714455,1.3341546,0.75947464,4.98851,2.0737307
24/02/1985,2.5230443,0.99373305,13.720701,2.204221,4.519881,3.7525108,2.5230443,2.3285022,3.516974,1.3595837,4.519881,4.094182,2.131229
25/02/1985,4.241807,5.2816463,9.643888,4.7820344,6.000125,7.380677,4.241807,5.8265443,5.467141,4.9334373,6.000125,7.6628056,5.9018073
26/02/1985,0.23564753,2.3831034,0.10670762,1.1572897,0.11464605,0.06282583,0.23564753,0.06539408,0.8124504,2.2514687,0.11464605,2.0309942,0.038123973
27/02/1985,0.057917356,0.10245764,0.06907357,0.056533363,0.033765253,0.034749307,0.057917356,0.032363012,0.036789324,0.08660889,0.033765253,0.1753299,0.031258248
28/02/1985,0.014981437,0.21466587,0.09738701,0.037704412,0.006282601,0.02879588,0.014981437,0.01429313,0.006351723,0.2304123,0.006282601,0.24320717,0.012827871
01/03/1985,0.1532708,0.19894502,0.9861955,0.33206493,0.04752812,0.60480905,0.1532708,0.34579226,0.056973662,0.19033629,0.04752812,0.7534974,0.2867804
