date,M421,M422,M142,M420,M428,M419,M040
17/03/1985,22.27889,24.10996,22.87678,20.59977,19.07741,20.97717,30.48895
18/03/1985,21.25325,22.43944,18.61348,20.33199,17.2205,19.34881,31.03912
19/03/1985,20.06932,21.35429,17.23032,19.6232,16.74437,19.44823,31.27671
20/03/1985,20.07962,21.55166,18.24408,19.4511,16.8888,19.44643,31.36221
21/03/1985,22.43581,23.07296,18.06908,21.49091,17.75414,20.25968,32.80261
22/03/1985,23.81504,24.69972,18.62274,23.01215,19.24729,22.1288,31.9768
23/03/1985,20.88619,21.93479,18.0803,19.16775,16.60523,18.1903,30.0099
24/03/1985,21.45371,22.82924,18.11901,19.68943,17.54044,19.8381,29.65887
25/03/1985,23.57073,25.83714,17.08421,21.56338,20.27654,22.66469,30.85553
26/03/1985,21.12594,22.74891,17.06029,19.03884,16.85868,19.04079,29.06789
27/03/1985,22.20008,24.13533,16.13036,20.73884,19.09842,21.108,32.04376
28/03/1985,21.62171,23.86561,16.23876,20.13068,18.65615,20.84439,30.2824
29/03/1985,23.01827,25.21087,17.61022,21.13538,19.89801,22.01919,31.80859
30/03/1985,21.80781,23.16845,18.49479,20.52413,18.02133,20.5657,30.92521
31/03/1985,20.77449,22.63594,13.92843,19.92206,18.0546,19.88994,31.3211
01/04/1985,20.00577,21.75053,14.42191,19.10409,17.07192,19.44979,31.31703
02/04/1985,21.79463,24.05163,16.28261,20.15432,19.64859,21.21242,32.67619
03/04/1985,22.7063,24.45557,17.97169,21.25235,19.77539,21.60503,33.51913
04/04/1985,21.69877,23.68573,22.47078,20.10914,18.92658,20.88229,32.01086
05/04/1985,21.32892,23.44934,23.76877,19.37033,18.52535,20.73314,30.30207
06/04/1985,22.87329,24.23707,21.49917,22.09406,19.13232,21.4051,32.66663
07/04/1985,20.89234,22.67382,17.91065,19.85599,17.97306,19.91122,32.10762
08/04/1985,18.5308,20.18685,17.25245,17.08938,15.36107,17.26893,30.0349
09/04/1985,19.30561,21.05568,18.39416,18.02586,16.32054,18.07704,30.86889
10/04/1985,19.40499,20.77522,18.77324,17.82366,16.21398,17.72129,30.45044
11/04/1985,22.99681,24.7283,17.92638,20.99477,19.65025,21.30768,31.83297
12/04/1985,23.93275,25.85383,18.51775,21.60221,20.18054,21.94121,32.10667
13/04/1985,24.22044,25.76675,17.07236,22.21747,20.40461,22.34384,32.14841
14/04/1985,22.70585,24.30648,16.81019,20.73854,18.40843,20.58147,30.64919
15/04/1985,23.63921,25.24898,17.79314,21.44093,19.25161,21.55618,31.68836
16/04/1985,24.22485,25.827,18.46159,22.25275,20.08392,22.42711,32.07606
17/04/1985,24.01355,25.57796,18.01695,22.21682,19.76893,22.03181,31.42744
18/04/1985,23.23165,25.002,18.55485,20.81714,19.54642,21.29456,31.00804
19/04/1985,22.70786,25.00186,16.93453,20.59293,19.98799,21.57742,31.58049
20/04/1985,21.33328,24.01037,17.37066,19.15731,19.35142,20.51263,31.41397
21/04/1985,22.29997,24.6594,19.68772,19.81873,19.54853,20.84195,31.95868
22/04/1985,23.94888,25.28611,17.94157,22.60029,20.28663,22.49557,33.04275
23/04/1985,22.08486,23.46954,18.56819,20.65712,18.39441,20.37268,31.34232
24/04/1985,22.51752,24.27904,18.27702,21.10242,19.55938,21.91161,31.77781
25/04/1985,20.59968,21.84961,17.90501,19.48076,17.18877,19.50575,31.751
26/04/1985,20.61516,21.78282,17.74625,19.41183,16.6567,18.95675,30.87239
27/04/1985,21.19996,22.14338,17.32369,19.94945,16.60973,19.00736,30.35432
28/04/1985,22.82673,23.97722,19.72302,21.84188,18.69165,21.20029,31.51144
29/04/1985,24.14577,25.36927,19.42263,22.85064,19.9082,22.44614,31.62772
30/04/1985,22.15456,23.37086,19.6477,20.94842,17.65433,20.32759,29.31292
01/05/1985,20.91613,21.70021,21.63719,20.01966,16.6908,19.1001,28.66244
