date,M421,M422,M142,M420,M428,M419,M040
08/03/1985,12.5177,14.23422,2.123026,11.47344,9.843192,11.87191,25.02084
09/03/1985,13.05902,14.93439,1.877405,11.72109,10.46572,12.23803,25.41107
10/03/1985,12.02185,14.02696,2.72115,10.78784,9.983634,11.64841,25.05475
11/03/1985,12.847,14.78856,1.745869,11.53709,10.56162,12.41021,25.73835
12/03/1985,12.80616,14.81544,1.59501,11.93649,10.61521,12.60846,25.87271
13/03/1985,11.51705,13.54738,1.814448,10.46495,9.752557,11.32552,25.31962
14/03/1985,12.28418,14.32356,1.830024,11.43481,10.34297,12.18874,24.6411
15/03/1985,11.82647,14.21828,1.837676,10.99413,10.5401,12.24152,24.98871
16/03/1985,12.34362,14.24003,2.023007,11.21658,10.24002,12.01282,25.38005
17/03/1985,12.9672,14.57695,1.393541,12.22592,10.32758,12.4278,24.79973
18/03/1985,13.90756,15.969,2.13959,13.12843,11.55199,13.66725,25.57367
19/03/1985,13.47469,15.17819,1.377478,12.75926,10.78767,12.96781,25.38117
20/03/1985,11.15958,13.44349,2.466612,10.46379,9.692283,11.49414,24.97535
21/03/1985,9.787657,12.1188,3.54726,8.726369,8.620728,9.996317,23.9295
22/03/1985,7.853788,9.231896,2.908876,6.85321,5.552764,7.59701,23.0597
23/03/1985,9.558481,11.04009,2.3232,9.313462,7.155767,9.795286,22.13613
24/03/1985,12.6215,14.73684,1.727079,12.0102,10.57951,12.63526,24.94515
25/03/1985,13.18084,14.85685,2.347862,12.20321,10.32787,12.34338,24.94663
26/03/1985,13.34983,15.20226,2.603935,12.39111,10.71011,12.80259,24.30639
27/03/1985,12.86433,14.91643,2.170871,11.97281,10.78969,12.47398,25.94904
28/03/1985,12.17769,14.14253,2.95341,11.20293,9.949245,11.79374,23.49808
29/03/1985,12.55296,14.66402,2.193468,11.19834,10.49926,12.04239,25.51725
30/03/1985,11.90888,14.10376,2.017471,10.47214,10.02253,11.97519,25.645
31/03/1985,13.27743,15.32484,1.408444,12.26858,11.01698,13.05022,25.85682
01/04/1985,13.43693,15.35003,1.391834,12.08333,11.16974,12.61083,26.05494
02/04/1985,12.76717,14.89045,1.877741,11.49453,10.87502,12.38133,26.55709
03/04/1985,11.79304,14.22094,2.056909,10.15625,10.43322,11.6057,26.71079
04/04/1985,12.80897,14.6966,2.861589,12.11993,10.47695,12.45513,25.95407
